sigle,groupe,annee,source,bilan,emploi,ressources,fonds_propres,effectif,agences,pnb,resultat_net,charges_exploit,rbe,cout_risque,interets_produits,interets_charges,roa,coeff_exploit,taux_transfo,solvabilite,liquidite,score_global,classement
LBA,Groupes Locaux,2019,BASE_SENEGAL2,328595.0,270554.0,232700.0,30311.0,350.0,38.0,19243.0,527.0,11256.0,6818.0,5949.0,15771.0,5166.0,0.16,58.49,116.27,9.22,70.82,33.7,9.0
LBO,Groupes Locaux,2019,BASE_SENEGAL2,22941.0,10681.0,11222.0,11129.0,37.0,1.0,941.0,-1695.0,2268.0,-1690.0,,833.0,155.0,-7.39,241.02,95.18,48.51,48.92,25.0,20.0
NSIA BANQUE,Groupes Règionaux,2019,BASE_SENEGAL2,273646.0,136612.0,191680.0,14634.0,140.0,12.0,10638.0,2678.0,7087.0,2912.0,231.0,14966.0,7241.0,0.98,66.62,71.27,5.35,70.05,29.7,17.0
ORABANK,Groupes Continentaux,2019,BASE_SENEGAL2,312677.0,187420.0,240227.0,15360.0,138.0,11.0,15330.0,3243.0,7700.0,7105.0,3261.0,16151.0,7508.0,1.04,50.23,78.02,4.91,76.83,30.1,15.0
SGBS,Groupes Internationaux,2019,BASE_SENEGAL2,975391.0,673354.0,801792.0,94662.0,914.0,40.0,79001.0,21997.0,43269.0,33358.0,2052.0,59782.0,13342.0,2.26,54.77,83.98,9.71,82.2,70.9,2.0
UBA,Groupes Continentaux,2019,BASE_SENEGAL2,221723.0,124559.0,174720.0,30113.0,243.0,10.0,15333.0,168.0,13256.0,1649.0,326.0,15812.0,4958.0,0.08,86.45,71.29,13.58,78.8,35.6,7.0
BAS,Groupes Continentaux,2020,BASE_SENEGAL2,408458.0,276934.0,204057.0,,236.0,21.0,,,,,,,,,,135.71,,49.96,33.3,11.0
BCIM,Groupes Règionaux,2020,BASE_SENEGAL2,47032.0,20653.0,40710.0,,27.0,2.0,,,,,,,,,,50.73,,86.56,29.9,16.0
BDK,Groupes Règionaux,2020,BASE_SENEGAL2,208146.0,126336.0,111097.0,,133.0,7.0,,,,,,,,,,113.72,,53.37,31.6,13.0
BGFI,Groupes Règionaux,2020,BASE_SENEGAL2,139696.0,73108.0,57508.0,,62.0,2.0,,,,,,,,,,127.13,,41.17,16.8,23.0
BHS,Groupes Locaux,2020,BASE_SENEGAL2,471204.0,357725.0,336205.0,,282.0,25.0,,,,,,,,,,106.4,,71.35,23.2,21.0
BICIS,Groupes Internationaux,2020,BASE_SENEGAL2,483662.0,299014.0,451441.0,,483.0,33.0,,,,,,,,,,66.24,,93.34,47.7,4.0
BIS,Groupes Règionaux,2020,BASE_SENEGAL2,437707.0,330840.0,310699.0,,225.0,28.0,,,,,,,,,,106.48,,70.98,38.8,6.0
BNDE,Groupes Locaux,2020,BASE_SENEGAL2,279297.0,123567.0,112612.0,,197.0,15.0,,,,,,,,,,109.73,,40.32,31.9,12.0
BOA,Groupes Continentaux,2020,BASE_SENEGAL2,562897.0,285619.0,344904.0,,379.0,59.0,,,,,,,,,,82.81,,61.27,45.0,5.0
BRM,Groupes Règionaux,2020,BASE_SENEGAL2,292888.0,148208.0,164111.0,,125.0,4.0,,,,,,,,,,90.31,,56.03,19.7,22.0
BSIC,Groupes Règionaux,2020,BASE_SENEGAL2,131535.0,48037.0,81827.0,,154.0,14.0,,,,,,,,,,58.71,,62.21,16.4,24.0
CBAO,Groupes Continentaux,2020,BASE_SENEGAL2,1151047.0,668334.0,859399.0,,1044.0,90.0,,,,,,,,,,77.77,,74.66,75.4,1.0
